Late_Delivery_Probability,Risk_Category,Actual_Late_Delivery_Risk,Predicted_Risk,Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Order Region,Order State,Product Name,Shipping Mode,shipping_delay_gap,shipping_pressure_index,is_express,high_discount_flag,order_complexity_score,region_congestion_score
1.0,High Risk,1,1,1,-0.9224418056228316,-1.4062015660718208,0.7183742290595582,0.7246696993271075,9,59,0,0,31,3,1,3198,53,0.4291316347343394,-0.0251114173202841,1.1392787876280783,0.5129289913944656,-0.7755982256425576,22,570,21,0,0.2920534670031837,-0.9007513663039434,1,0,0.7285507308162661,1.0038335561201748
0.0,Low Risk,0,0,0,-0.3062303685083438,0.7770119322631955,-0.0022480662531649,-0.0759759301401469,46,522,0,0,42,3,1,1173,120,0.2451529203920491,0.4008241135082545,0.4219959226457426,0.0200044467409619,-0.7755982256425576,10,324,70,3,-1.0496885108020837,1.2807726860234483,0,1,-0.028612471532936,-0.7740272791225363
1.0,High Risk,1,1,2,1.54240394283512,0.7770119322631955,1.5123578609046475,1.7422628527285555,18,66,1,2,36,3,3,570,8,-0.5827512941482574,-1.1609394995297204,1.8566333880704584,0.7272440108090326,-0.7755982256425576,11,979,24,3,0.9629244559058174,1.2807726860234483,0,0,1.4857896570580924,-0.7972996521958311
0.0,Low Risk,0,0,3,0.3099810686061441,0.7770119322631955,0.1972030674442059,-0.3010975630115001,47,220,0,1,22,6,4,2052,48,-0.8127246870761203,-1.1609394995297204,-0.6539642425577832,0.3629084778042688,0.5987142474828251,18,983,59,3,-0.3788175218994499,-0.1735766821948127,0,0,-0.4071562107612251,0.4045597405012845
0.0,Low Risk,0,0,1,-0.9224418056228316,-0.6784637332934821,1.567760953598362,1.7756265626761445,18,210,0,1,5,3,4,3442,48,-0.7667300084905477,-1.3029180098059,1.8566333880704584,0.748675512750489,-0.7755982256425576,6,278,24,2,-0.3788175218994499,-0.1735766821948127,0,0,1.4857896570580924,0.8195876373652855
1.0,High Risk,1,1,2,0.3099810686061441,-0.6784637332934821,0.4670543378920376,0.0492213914381787,47,66,1,1,36,6,0,847,147,-0.4447672583915396,-0.5930254584250024,-0.6539642425577832,0.555791995277379,1.2858704840455164,5,276,59,2,0.9629244559058174,-1.0461863031257694,0,0,-0.0285367476403119,1.093405428775596
1.0,High Risk,1,1,2,0.926192505720632,-0.6784637332934821,0.1463850582837647,-0.6381544427570126,34,257,0,2,5,0,2,2849,124,0.1255667560695603,1.110716664889152,-0.0801522976639233,0.4914974894530089,-0.7755982256425576,1,890,56,2,1.6337954448084513,-0.1735766821948127,0,1,-0.5586797199022145,-1.7262180350025187
0.0,Low Risk,0,0,3,-0.9224418056228316,0.7770119322631955,0.112570067225877,-0.6273112370240465,34,66,1,0,36,0,1,477,53,0.0657736739083161,0.9687381546129727,-0.0801522976639233,0.4057714816871822,-0.7755982256425576,22,160,56,3,-1.720559499704717,1.2807726860234483,0,1,-0.5586797199022145,1.0038335561201748
1.0,High Risk,1,1,2,1.54240394283512,0.7770119322631955,-0.0562183203427313,-0.3386317367025372,47,66,1,1,36,6,2,3106,20,-0.6057486334410437,-0.7350039687011819,-0.6539642425577832,-0.0228585571419514,0.5987142474828251,12,953,59,3,0.9629244559058174,-0.1735766821948127,0,0,-0.4071562107612251,-0.5133785839780072
1.0,High Risk,1,1,2,-0.9224418056228316,-1.4062015660718208,0.116486492743881,-0.6164680312910802,34,144,0,2,40,0,1,2748,53,0.0059805917470717,0.826759644336793,-0.0801522976639233,0.4057714816871822,-0.7755982256425576,22,461,56,0,0.2920534670031837,-0.9007513663039434,1,1,-0.5586797199022145,1.0038335561201748
1.0,High Risk,1,1,2,-1.5386532427373196,-2.13393939885016,0.0507669621003028,1.5087168830954365,18,66,1,0,36,3,2,801,20,0.705099706247775,-0.1670899275964638,1.8566333880704584,-0.0871530629663214,-0.7755982256425576,12,207,24,1,0.2920534670031837,-1.627926050413074,1,0,1.4857896570580924,-0.5133785839780072
1.0,High Risk,1,1,2,-0.9224418056228316,-1.4062015660718208,0.1554597027767005,-0.4266285216893019,30,330,0,1,5,3,2,3236,102,-0.1232644550783873,0.2588456032320748,-0.6541077134778718,0.3629084778042688,0.5987142474828251,3,222,67,0,0.2920534670031837,-1.2643387083585087,1,1,-0.4076105541169702,-0.0737045223261843
1.0,High Risk,1,1,1,-0.9224418056228316,-1.4062015660718208,0.0715908831472505,-0.6164680312910802,34,66,1,0,36,0,1,628,75,0.0059805917470717,0.826759644336793,-0.0801522976639233,0.3200454739213555,-0.7755982256425576,17,319,56,0,0.2920534670031837,-0.9007513663039434,1,1,-0.5586797199022145,-0.4386915903571758
0.0,Low Risk,0,0,3,-2.154864679851808,-2.13393939885016,0.5228395208801913,-0.2212748869618948,12,320,0,2,7,0,1,1489,2,0.1255667560695603,0.4008241135082545,-0.5823005179735894,0.7915385166334025,0.5987142474828251,22,1004,71,1,-0.3788175218994499,-1.627926050413074,1,1,-0.1802117045665497,1.0038335561201748
1.0,High Risk,1,1,0,0.926192505720632,0.7770119322631955,1.0827928473811437,0.8745561662666484,12,66,1,0,36,0,3,1957,108,-0.3987725798059671,-0.8769824789773615,-0.5823005179735894,0.748675512750489,1.973026720608208,11,85,71,3,0.2920534670031837,-0.6583598049342332,0,0,0.7283235591383933,-0.7972996521958311
1.0,High Risk,1,1,0,1.54240394283512,-0.6784637332934821,0.8994850286238375,1.4086257532526711,18,88,0,0,15,3,2,2769,20,1.257035849274646,0.2588456032320748,1.8566333880704584,0.4486344855700956,-0.7755982256425576,12,98,24,2,2.304666433711085,-0.1735766821948127,0,1,1.4857896570580924,-0.5133785839780072
0.9999,High Risk,1,1,1,1.54240394283512,-0.6784637332934821,0.2981704277498194,0.0574789096502069,46,66,1,0,36,3,1,225,120,-0.4907619369771122,-0.7350039687011819,0.4219959226457426,0.3414769758628122,-0.7755982256425576,10,453,70,2,2.304666433711085,-0.1735766821948127,0,0,-0.028612471532936,-0.7740272791225363
1.0,High Risk,1,1,1,0.926192505720632,0.7770119322631955,-0.1024512459698997,-1.233696665321467,38,66,1,1,36,6,3,2862,73,-0.7299342656220896,0.2588456032320748,-0.7257714380620653,0.4272029836286389,-0.7755982256425576,13,650,102,3,0.2920534670031837,1.2807726860234483,0,1,-1.2401947535198583,1.416024798832915
0.9553,High Risk,1,1,3,-1.5386532427373196,-2.13393939885016,-0.0598481781399057,-1.0416051052982265,17,66,1,2,36,5,3,2034,8,-0.68577937417994,-0.1670899275964638,-0.7831598060974558,0.3200454739213555,-0.0884419890798662,11,1030,108,1,0.2920534670031837,-1.627926050413074,1,0,-1.0585331351144442,-0.7972996521958311
